爆仓时间,币种,价格(USDT),数量(币),金额(USDT),方向,订单类型
2025-10-14 13:28:51.256,BTCUSDT,112969.90,0.0070,790.79,多头,LIMIT
2025-10-14 13:29:03.299,BTCUSDT,112969.90,0.0290,3276.13,多头,LIMIT
2025-10-14 13:29:19.349,BTCUSDT,112969.90,0.1740,19656.76,多头,LIMIT
2025-10-14 13:29:32.465,BTCUSDT,112927.50,0.0170,1919.77,多头,LIMIT
2025-10-14 13:33:18.281,BTCUSDT,112830.40,0.5710,64426.16,多头,LIMIT
2025-10-14 13:33:35.243,BTCUSDT,112731.20,0.1730,19502.50,多头,LIMIT
2025-10-14 13:33:38.493,BTCUSDT,112765.10,0.1070,12065.87,多头,LIMIT
2025-10-14 13:33:51.079,BTCUSDT,112797.30,0.1550,17483.58,多头,LIMIT
2025-10-14 13:34:42.065,BTCUSDT,112667.30,0.4100,46193.59,多头,LIMIT
2025-10-14 13:35:39.166,BTCUSDT,112515.40,1.3360,150320.57,多头,LIMIT
2025-10-14 13:41:41.515,BTCUSDT,112412.30,0.1250,14051.54,多头,LIMIT
2025-10-14 13:41:52.234,BTCUSDT,112326.70,0.8660,97274.92,多头,LIMIT
2025-10-14 14:17:34.442,BTCUSDT,112350.00,2.0160,226497.60,多头,LIMIT
2025-10-14 14:20:49.545,BTCUSDT,112455.80,0.3100,34861.30,多头,LIMIT
2025-10-14 14:23:56.174,BTCUSDT,112257.60,0.3070,34463.08,多头,LIMIT
2025-10-14 14:23:57.330,BTCUSDT,112255.70,0.1220,13695.20,多头,LIMIT
2025-10-14 14:29:38.145,BTCUSDT,112214.10,0.2870,32205.45,多头,LIMIT
2025-10-14 14:29:42.334,BTCUSDT,112206.70,0.3000,33662.01,多头,LIMIT
2025-10-14 14:29:44.322,BTCUSDT,112206.70,0.1630,18289.69,多头,LIMIT
2025-10-14 14:33:15.419,BTCUSDT,112166.80,0.1010,11328.85,多头,LIMIT
2025-10-14 14:33:16.944,BTCUSDT,112166.80,1.6960,190234.89,多头,LIMIT
2025-10-14 14:33:19.799,BTCUSDT,112166.80,0.4900,54961.73,多头,LIMIT
2025-10-14 14:33:33.197,BTCUSDT,112124.60,0.1000,11212.46,多头,LIMIT
2025-10-14 14:33:47.410,BTCUSDT,112084.40,0.1000,11208.44,多头,LIMIT
2025-10-14 14:37:38.541,BTCUSDT,112110.90,0.8840,99106.04,多头,LIMIT
2025-10-14 14:39:55.078,BTCUSDT,112066.40,0.1500,16809.96,多头,LIMIT
2025-10-14 14:40:28.340,BTCUSDT,112050.30,0.1210,13558.09,多头,LIMIT
2025-10-14 14:43:22.097,BTCUSDT,111884.20,0.3410,38152.51,多头,LIMIT
2025-10-14 14:43:29.069,BTCUSDT,111805.50,1.4290,159770.06,多头,LIMIT
2025-10-14 14:43:53.507,BTCUSDT,111882.70,0.1680,18796.29,多头,LIMIT
2025-10-14 14:44:30.218,BTCUSDT,111820.00,0.2070,23146.74,多头,LIMIT
2025-10-14 14:44:52.264,BTCUSDT,111762.99,1.7600,196702.86,多头,LIMIT
2025-10-14 14:46:52.474,BTCUSDT,111602.00,1.5000,167403.00,多头,LIMIT
2025-10-14 14:47:39.399,BTCUSDT,111525.70,0.3070,34238.39,多头,LIMIT
2025-10-14 14:47:50.392,BTCUSDT,111499.70,0.1160,12933.97,多头,LIMIT
2025-10-14 14:47:58.335,BTCUSDT,111429.90,0.5000,55714.95,多头,LIMIT
2025-10-14 14:48:01.611,BTCUSDT,111326.50,0.1000,11132.65,多头,LIMIT
2025-10-14 14:53:15.053,BTCUSDT,111900.10,0.2010,22491.92,空头,LIMIT
2025-10-14 14:53:22.707,BTCUSDT,112030.60,0.4640,51982.20,空头,LIMIT
2025-10-14 14:53:45.207,BTCUSDT,112097.11,0.1640,18383.93,空头,LIMIT
2025-10-14 15:16:17.086,BTCUSDT,112040.00,0.6960,77979.84,空头,LIMIT
2025-10-14 15:38:00.759,BTCUSDT,111535.60,0.1680,18737.98,多头,LIMIT
2025-10-14 15:38:38.464,BTCUSDT,111759.00,0.8670,96895.05,空头,LIMIT
2025-10-14 16:09:03.158,BTCUSDT,111800.00,0.9370,104756.60,空头,LIMIT
2025-10-14 16:13:34.218,BTCUSDT,111856.70,0.1070,11968.67,空头,LIMIT
2025-10-14 16:23:36.227,BTCUSDT,111646.28,1.1420,127500.05,多头,LIMIT
2025-10-14 16:28:10.361,BTCUSDT,111924.90,1.0900,121998.14,空头,LIMIT
2025-10-14 16:29:17.314,BTCUSDT,111947.20,0.2570,28770.43,空头,LIMIT
2025-10-14 16:30:26.546,BTCUSDT,112025.60,0.4000,44810.24,空头,LIMIT
