时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-14 12:25,8.3410,2.0670,10.4080,19.86%
2025-10-14 12:30,1.4490,146.8210,148.2700,99.02%
2025-10-14 12:35,1.8290,2.9960,4.8250,62.09%
2025-10-14 12:40,7.7180,65.2850,73.0030,89.43%
2025-10-14 13:00,68.0810,160.1980,228.2790,70.18%
2025-10-14 13:05,9.2640,52.5190,61.7830,85.01%
2025-10-14 13:10,160.8940,7.6990,168.5930,4.57%
2025-10-14 13:15,151.9250,222.5160,374.4410,59.43%
2025-10-14 13:20,416.4960,417.6000,834.0960,50.07%
2025-10-14 13:25,311.3990,703.8080,1015.2070,69.33%
2025-10-14 13:30,2014.6970,601.9020,2616.5990,23.00%
2025-10-14 13:35,85.5810,80.5490,166.1300,48.49%
2025-10-14 13:40,1148.8800,1027.4180,2176.2980,47.21%
2025-10-14 13:45,539.5940,615.2790,1154.8730,53.28%
2025-10-14 13:50,370.7340,474.8390,845.5730,56.16%
2025-10-14 13:55,598.0740,416.9410,1015.0150,41.08%
2025-10-14 14:00,435.1290,502.1000,937.2290,53.57%
2025-10-14 14:05,253.6930,262.8190,516.5120,50.88%
2025-10-14 14:10,268.4290,294.0560,562.4850,52.28%
2025-10-14 14:15,1.4260,1.1820,2.6080,45.32%
2025-10-14 14:20,644.0770,432.5390,1076.6160,40.18%
2025-10-14 14:25,330.2960,240.1220,570.4180,42.10%
2025-10-14 14:30,1032.2390,815.5310,1847.7700,44.14%
2025-10-14 14:35,438.7950,448.9210,887.7160,50.57%
2025-10-14 14:40,1283.9220,916.4150,2200.3370,41.65%
2025-10-14 14:45,1773.0560,1711.4000,3484.4560,49.12%
2025-10-14 14:50,1233.5400,1487.4760,2721.0160,54.67%
2025-10-14 14:55,461.4170,441.1190,902.5360,48.88%
2025-10-14 15:00,604.5580,592.0860,1196.6440,49.48%
2025-10-14 15:05,655.3730,619.0550,1274.4280,48.58%
2025-10-14 15:10,358.6240,474.2400,832.8640,56.94%
2025-10-14 15:15,526.0240,478.8250,1004.8490,47.65%
2025-10-14 15:20,448.5150,439.8750,888.3900,49.51%
2025-10-14 15:25,351.4970,399.4200,750.9170,53.19%
2025-10-14 15:30,413.1920,552.6720,965.8640,57.22%
2025-10-14 15:35,1187.3990,907.4290,2094.8280,43.32%
2025-10-14 15:40,623.8120,636.1140,1259.9260,50.49%
2025-10-14 15:45,558.4670,571.1350,1129.6020,50.56%
2025-10-14 15:50,401.1400,402.0160,803.1560,50.05%
2025-10-14 15:55,463.9160,459.7500,923.6660,49.77%
2025-10-14 16:00,258.4700,247.7620,506.2320,48.94%
2025-10-14 16:05,576.7560,569.1100,1145.8660,49.67%
2025-10-14 16:10,360.8360,605.9970,966.8330,62.68%
2025-10-14 16:15,331.2920,304.4370,635.7290,47.89%
2025-10-14 16:20,241.6170,292.0280,533.6450,54.72%
2025-10-14 16:25,335.9740,534.1090,870.0830,61.39%
2025-10-14 16:30,485.4990,668.5600,1154.0590,57.93%
2025-10-14 16:35,349.7760,357.7500,707.5260,50.56%
2025-10-14 16:40,140.1980,182.8710,323.0690,56.60%
2025-10-14 17:55,24.8110,29.5080,54.3190,54.32%
2025-10-14 18:00,73.7900,41.4230,115.2130,35.95%
